datetime,open,high,low,close,% change
2015-09-01,110.18,116.89,107.36,110.3,0.10891268832818146
2015-08-01,121.5,122.57,92.0,112.76,-7.1934156378600775
2015-07-01,126.92,132.965,119.22,121.3,-4.427986132997167
2015-06-01,131.35,131.39,124.48,125.425,-4.510848877046058
2015-05-01,126.1,132.97,123.37,130.28,3.3148295003965162
2015-04-01,124.83,134.54,123.1,125.15,0.25634863414243964
2015-03-01,129.11,130.28,121.64,124.43,-3.624816048330885
2015-02-01,118.03,133.6,116.09,128.46,8.836736422943325
2015-01-01,111.41,120.0,104.64,117.16,5.161116596355804
2014-12-01,118.76,119.25,106.33,110.38,-7.0562478949141205
2014-11-01,108.16,119.75,107.725,118.93,9.957470414201193
2014-10-01,100.58,108.04,95.18,108.0,7.377212169417382
2014-09-01,103.04,103.74,96.14,100.75,-2.2224378881987636
2014-08-01,95.0,102.9,93.28,102.5,7.894736842105263
2014-07-01,93.56,99.44,92.57,95.57,2.1483539974347914
2014-06-01,90.571,95.05,88.935,92.93,2.6045864570337183
2014-05-01,84.571,92.024,82.905,90.429,6.92672429083256
2014-04-01,76.843,85.63,73.049,84.299,9.70290071964916
2014-03-01,74.743,78.429,74.689,76.677,2.587533280708577
2014-02-01,71.773,78.737,71.329,75.177,4.742730553272137
2014-01-01,79.383,80.018,70.515,71.515,-9.911441996397208
2013-12-01,79.714,82.159,76.98,80.159,0.5582457284793227
2013-11-01,74.914,79.759,73.197,79.439,6.040259497557187
2013-10-01,68.35,77.035,68.33,74.621,9.174835405998538
2013-09-01,70.429,72.557,63.888,68.107,-3.2969373411520864
2013-08-01,65.041,73.387,64.751,69.579,6.977137497885943
2013-07-01,57.557,65.328,57.317,64.643,12.31127404138506
2013-06-01,64.351,64.914,55.554,56.583,-12.071296483349133
2013-05-01,63.5,66.529,59.85,64.24,1.1653543307086534
2013-04-01,63.143,63.608,55.014,63.25,0.1694566301886184
2013-03-01,62.571,67.136,59.857,63.233,1.057998114142333
2013-02-01,65.619,69.273,62.525,63.057,-3.904356969780091
2013-01-01,79.143,79.286,62.265,65.044,-17.814588782330723
2012-12-01,84.814,84.935,71.607,76.147,-10.218831796637334
2012-11-01,85.464,86.141,72.251,83.611,-2.1681643733033726
2012-10-01,95.929,96.678,83.957,85.014,-11.378206798778269
2012-09-01,95.113,100.725,93.714,95.323,0.22079000767507465
2012-08-01,87.976,97.267,85.75,95.034,8.022642538874246
2012-07-01,83.533,88.553,81.428,87.252,4.452132690074574
2012-06-01,81.286,84.286,78.364,83.428,2.63514012253032
2012-05-01,83.557,85.251,75.527,82.533,-1.2255107292028207
2012-04-01,85.99,92.0,79.286,83.463,-2.938713803930691
2012-03-01,78.31,88.775,73.747,85.639,9.358957987485624
2012-02-01,65.499,78.228,64.854,77.491,18.308676468343034
2012-01-01,58.5,65.461,58.429,65.211,11.471794871794868
2011-12-01,54.636,58.437,53.963,57.857,5.895380335310045
2011-11-01,56.714,58.159,51.911,54.6,-3.727474697605525
2011-10-01,54.337,60.955,50.61,57.825,6.4191987043819125
2011-09-01,55.14,60.407,52.363,54.454,-1.2441059122234313
2011-08-01,56.857,57.069,50.458,54.976,-3.3082997695974115
2011-07-01,47.993,57.784,47.746,55.783,16.231533765340778
2011-06-01,49.873,50.304,44.379,47.953,-3.8497784372305546
2011-05-01,49.964,50.26,47.064,49.69,-0.5483948442878891
2011-04-01,50.159,50.714,45.738,49.747,-0.8213879862038698
2011-03-01,50.753,51.664,46.608,49.778,-1.9210687052982118
2011-02-01,48.791,52.129,48.246,50.459,3.4186632780635904
2011-01-01,46.557,49.8,46.411,48.474,4.11753334622075
2010-12-01,45.107,46.664,44.986,46.08,2.1570931341033517
2010-11-01,43.233,45.9,42.537,44.45,2.8149792982212802
2010-10-01,40.914,45.571,39.681,42.981,5.052060419416337
2010-09-01,35.357,42.104,35.184,40.536,14.64773595044829
2010-08-01,37.206,37.753,33.651,34.767,-6.555394291243348
2010-07-01,36.301,37.997,34.229,36.75,1.2368805267072478
2010-06-01,37.099,39.858,34.6,35.933,-3.142941858271104
2010-05-01,37.774,38.268,28.479,36.737,-2.7452745274527426
2010-04-01,33.953,38.923,33.251,37.303,9.866580272729934
2010-03-01,29.393,33.926,29.371,33.561,14.180246997584456
2010-02-01,27.511,29.308,27.265,29.231,6.252044636690787
2010-01-01,30.507,30.798,27.18,27.445,-10.037040679188387
2009-12-01,28.886,30.563,26.954,30.123,4.282351312054288
2009-11-01,27.116,29.714,26.51,28.558,5.317893494615725
2009-10-01,26.499,29.814,25.823,26.929,1.6227027434997536
2009-09-01,24.013,26.985,23.444,26.481,10.277766209969599
2009-08-01,23.593,24.641,22.774,24.03,1.8522443097528978
2009-07-01,20.503,23.572,19.203,23.342,13.846754133541426
2009-06-01,19.481,20.915,18.983,20.347,4.445357014526973
